TE,nORF,Class,Family,r_s,p_s,r_p,p_p
chr4:159190434:159190644:MLT1I,cwydH1,LTR,ERVL-MaLR,0.831651905,5.35E-107,0.874533313,1.18E-135
chr4:159190645:159191277:MER39,cwydH1,LTR,ERV1,0.845421079,5.54E-114,0.876567239,4.61E-137
chr4:159191278:159191405:MLT1I,cwydH1,LTR,ERVL-MaLR,0.821104609,5.03E-102,0.860051624,2.79E-126
chr4:159191969:159192382:MSTA,cwydH1,LTR,ERVL-MaLR,0.868769689,1.81E-127,0.896577169,2.04E-152
chr4:159193730:159193932:AluJb,cwydH1,SINE,Alu,0.807278588,5.86E-96,0.850407453,1.32E-120
chr4:159194838:159194993:MIRc,cwydH1,SINE,MIR,0.830862736,1.27E-106,0.868691808,9.71E-132
chr4:159195322:159195430:MIRc,cwydH1,SINE,MIR,0.806799587,9.30E-96,0.853511803,2.18E-122
chr4:159195807:159195966:MIRb,cwydH1,SINE,MIR,0.816878936,4.12E-100,0.848404216,1.77E-119
chr4:159198412:159198708:AluSp,cwydH1,SINE,Alu,0.82647301,1.56E-104,0.864165797,7.82E-129
chr4:159165545:159165837:AluSg7,0z1rH3,SINE,Alu,0.804339905,9.49E-95,0.831565291,1.36E-110
chr4:159166553:159166756:MIR,0z1rH3,SINE,MIR,0.854237575,8.09E-119,0.869171069,4.71E-132
chr4:159166812:159167111:AluJr,0z1rH3,SINE,Alu,0.83096819,1.14E-106,0.853914363,1.27E-122
chr4:159172428:159172579:MER66-int,0z1rH3,LTR,ERV1,0.841135343,9.56E-112,0.868131651,2.25E-131
chr4:159172584:159173056:MER41E,0z1rH3,LTR,ERV1,0.843753805,4.18E-113,0.869315707,3.78E-132
chr4:159173089:159173392:L3,0z1rH3,LINE,CR1,0.863898316,1.73E-124,0.880793461,4.50E-140
chr4:159173487:159173714:L2b,0z1rH3,LINE,L2,0.820554216,8.88E-102,0.848185314,2.35E-119
chr4:159178429:159178862:MLT1D,0z1rH3,LTR,ERVL-MaLR,0.844589677,1.49E-113,0.86760469,4.95E-131
chr4:159179136:159179269:MIR3,0z1rH3,SINE,MIR,0.812651919,2.95E-98,0.827724903,1.05E-108
chr4:159135036:159135176:MIR3,5sz1H1,SINE,MIR,0.842585498,1.73E-112,0.845075532,1.23E-117
chr4:159136076:159136252:MIRb,5sz1H1,SINE,MIR,0.872006052,1.65E-129,0.874231516,1.90E-135
chr4:159139997:159140273:AluSx1,5sz1H1,SINE,Alu,0.82578295,3.30E-104,0.824753885,2.83E-107
chr4:159140695:159140811:MIR3,5sz1H1,SINE,MIR,0.850426014,1.15E-116,0.845087951,1.21E-117
chr4:159141635:159141869:MIR,5sz1H1,SINE,MIR,0.845980279,2.86E-114,0.849297198,5.59E-120
chr4:159143860:159143902:L2a,5sz1H1,LINE,L2,0.806064547,1.84E-95,0.807767314,1.37E-99
chr4:159155401:159155713:AluSq,5sz1H1,SINE,Alu,0.870424786,1.69E-128,0.870078984,1.19E-132
chr4:159157357:159157436:L2a,5sz1H1,LINE,L2,0.829857374,3.86E-106,0.823250532,1.46E-106
chr4:159165545:159165837:AluSg7,5sz1H1,SINE,Alu,0.886221573,3.32E-139,0.886554824,2.30E-144
chr4:159166553:159166756:MIR,5sz1H1,SINE,MIR,0.869382528,7.49E-128,0.855576654,1.35E-123
chr4:159166812:159167111:AluJr,5sz1H1,SINE,Alu,0.8645575,6.87E-125,0.860928291,8.09E-127
chr4:159168167:159169048:L1MD,5sz1H1,LINE,L1,0.813782804,9.40E-99,0.812449987,1.25E-101
chr4:159169303:159169579:AluSz6,5sz1H1,SINE,Alu,0.83990337,4.18E-111,0.840356863,4.20E-115
chr4:159172324:159172376:L3,5sz1H1,LINE,CR1,0.802545255,5.08E-94,0.787775056,1.78E-91
chr4:159172428:159172579:MER66-int,5sz1H1,LTR,ERV1,0.839633302,5.67E-111,0.826518465,4.04E-108
chr4:159172584:159173056:MER41E,5sz1H1,LTR,ERV1,0.85761081,9.79E-121,0.858353064,2.98E-125
chr4:159173089:159173392:L3,5sz1H1,LINE,CR1,0.831179841,9.10E-107,0.820254715,3.68E-105
chr4:159173990:159174231:L2b,5sz1H1,LINE,L2,0.849971878,2.00E-116,0.842837074,2.00E-116
chr4:159175629:159175756:FLAM_A,5sz1H1,SINE,Alu,0.830111973,2.92E-106,0.827811336,9.56E-109
chr4:159175948:159176178:MIR,5sz1H1,SINE,MIR,0.896425435,3.30E-147,0.897257344,5.41E-153
chr4:159178429:159178862:MLT1D,5sz1H1,LTR,ERVL-MaLR,0.829696118,4.60E-106,0.833049486,2.46E-111
chr4:159179136:159179269:MIR3,5sz1H1,SINE,MIR,0.875271547,1.66E-131,0.878026485,4.33E-138
chr4:159190434:159190644:MLT1I,5sz1H1,LTR,ERVL-MaLR,0.809443116,7.08E-97,0.808868377,4.58E-100
chr4:159190645:159191277:MER39,5sz1H1,LTR,ERV1,0.854613972,4.98E-119,0.856415296,4.30E-124
chr4:159191969:159192382:MSTA,5sz1H1,LTR,ERVL-MaLR,0.857177846,1.73E-120,0.860526169,1.43E-126
chr4:159193730:159193932:AluJb,5sz1H1,SINE,Alu,0.852343448,9.56E-118,0.845925477,4.20E-118
chr4:159194838:159194993:MIRc,5sz1H1,SINE,MIR,0.861906827,2.77E-123,0.845511375,7.08E-118
chr4:159195322:159195430:MIRc,5sz1H1,SINE,MIR,0.828029317,2.86E-105,0.814461174,1.59E-102
chr4:159195807:159195966:MIRb,5sz1H1,SINE,MIR,0.839638291,5.67E-111,0.824550207,3.54E-107
chr4:159198412:159198708:AluSp,5sz1H1,SINE,Alu,0.863307931,3.95E-124,0.869764503,1.92E-132
chr4:159135036:159135176:MIR3,0wq0H6,SINE,MIR,0.872451226,8.76E-130,0.887056999,9.47E-145
chr4:159136076:159136252:MIRb,0wq0H6,SINE,MIR,0.884433767,5.60E-138,0.900414757,1.01E-155
chr4:159139997:159140273:AluSx1,0wq0H6,SINE,Alu,0.842071735,3.07E-112,0.864839722,2.93E-129
chr4:159140695:159140811:MIR3,0wq0H6,SINE,MIR,0.866087396,7.81E-126,0.890312956,2.72E-147
chr4:159141635:159141869:MIR,0wq0H6,SINE,MIR,0.875079032,2.00E-131,0.894831172,5.89E-151
chr4:159155401:159155713:AluSq,0wq0H6,SINE,Alu,0.859573559,6.73E-122,0.887635053,3.39E-145
chr4:159157357:159157436:L2a,0wq0H6,LINE,L2,0.867193619,1.76E-126,0.888061324,1.59E-145
chr4:159165545:159165837:AluSg7,0wq0H6,SINE,Alu,0.862789731,8.08E-124,0.881777165,8.64E-141
chr4:159166553:159166756:MIR,0wq0H6,SINE,MIR,0.80472108,6.66E-95,0.825673566,1.03E-107
chr4:159166812:159167111:AluJr,0wq0H6,SINE,Alu,0.806088716,1.81E-95,0.838109219,6.34E-114
chr4:159168167:159169048:L1MD,0wq0H6,LINE,L1,0.881600774,6.23E-136,0.880245811,1.12E-139
chr4:159169303:159169579:AluSz6,0wq0H6,SINE,Alu,0.853134126,3.41E-118,0.872899501,1.54E-134
chr4:159172584:159173056:MER41E,0wq0H6,LTR,ERV1,0.831036163,1.06E-106,0.856190762,5.84E-124
chr4:159173990:159174231:L2b,0wq0H6,LINE,L2,0.838079625,3.41E-110,0.871676647,1.03E-133
chr4:159175629:159175756:FLAM_A,0wq0H6,SINE,Alu,0.907563043,7.17E-157,0.892044667,1.12E-148
chr4:159175948:159176178:MIR,0wq0H6,SINE,MIR,0.933555832,8.38E-186,0.926090513,5.17E-182
chr4:159177266:159177416:L1ME3C,0wq0H6,LINE,L1,0.833319975,8.16E-108,0.850971965,6.30E-121
chr4:159179136:159179269:MIR3,0wq0H6,SINE,MIR,0.85583595,1.01E-119,0.875400665,2.98E-136
chr4:159190645:159191277:MER39,0wq0H6,LTR,ERV1,0.821715647,2.63E-102,0.842628263,2.59E-116
chr4:159191969:159192382:MSTA,0wq0H6,LTR,ERVL-MaLR,0.835235559,9.16E-109,0.859694574,4.60E-126
chr4:159193730:159193932:AluJb,0wq0H6,SINE,Alu,0.822353642,1.35E-102,0.856343444,4.74E-124
chr4:159194838:159194993:MIRc,0wq0H6,SINE,MIR,0.852094928,1.30E-117,0.870955214,3.11E-133
chr4:159195807:159195966:MIRb,0wq0H6,SINE,MIR,0.821005273,5.56E-102,0.847085229,9.62E-119
chr4:159198412:159198708:AluSp,0wq0H6,SINE,Alu,0.829426074,6.14E-106,0.857804051,6.38E-125
chr4:159165545:159165837:AluSg7,fib2H7,SINE,Alu,0.810323687,2.98E-97,0.826678697,3.38E-108
chr4:159166553:159166756:MIR,fib2H7,SINE,MIR,0.833312705,8.16E-108,0.850638509,9.75E-121
chr4:159166812:159167111:AluJr,fib2H7,SINE,Alu,0.831751784,4.81E-107,0.847966753,3.11E-119
chr4:159172428:159172579:MER66-int,fib2H7,LTR,ERV1,0.826465096,1.56E-104,0.85507657,2.65E-123
chr4:159172584:159173056:MER41E,fib2H7,LTR,ERV1,0.833312859,8.16E-108,0.856701567,2.91E-124
chr4:159173089:159173392:L3,fib2H7,LINE,CR1,0.856775576,2.94E-120,0.873078373,1.16E-134
chr4:159173487:159173714:L2b,fib2H7,LINE,L2,0.805095875,4.65E-95,0.845565186,6.62E-118
chr4:159175948:159176178:MIR,fib2H7,SINE,MIR,0.828612988,1.51E-105,0.814936954,9.76E-103
chr4:159178429:159178862:MLT1D,fib2H7,LTR,ERVL-MaLR,0.83417108,3.09E-108,0.853761013,1.56E-122
chr4:159179136:159179269:MIR3,fib2H7,SINE,MIR,0.81680967,4.40E-100,0.825329602,1.50E-107
chr4:159190645:159191277:MER39,fib2H7,LTR,ERV1,0.806489127,1.24E-95,0.824434412,4.02E-107
chr4:159165545:159165837:AluSg7,2dheH1,SINE,Alu,0.830536767,1.82E-106,0.846095987,3.38E-118
chr4:159166553:159166756:MIR,2dheH1,SINE,MIR,0.859806148,4.99E-122,0.871135272,2.36E-133
chr4:159166812:159167111:AluJr,2dheH1,SINE,Alu,0.832406574,2.29E-107,0.84649869,2.03E-118
chr4:159172428:159172579:MER66-int,2dheH1,LTR,ERV1,0.835307977,8.50E-109,0.859478988,6.22E-126
chr4:159172584:159173056:MER41E,2dheH1,LTR,ERV1,0.845493214,5.14E-114,0.863564137,1.87E-128
chr4:159173089:159173392:L3,2dheH1,LINE,CR1,0.846703052,1.18E-114,0.864724295,3.47E-129
chr4:159173487:159173714:L2b,2dheH1,LINE,L2,0.816470266,6.14E-100,0.847916631,3.32E-119
chr4:159173990:159174231:L2b,2dheH1,LINE,L2,0.813140805,1.80E-98,0.811045397,5.17E-101
chr4:159175948:159176178:MIR,2dheH1,SINE,MIR,0.860209672,2.90E-122,0.848315975,1.99E-119
chr4:159178429:159178862:MLT1D,2dheH1,LTR,ERVL-MaLR,0.838938488,1.28E-110,0.851864979,1.94E-121
chr4:159179136:159179269:MIR3,2dheH1,SINE,MIR,0.82798769,2.98E-105,0.832989546,2.64E-111
chr4:159190645:159191277:MER39,2dheH1,LTR,ERV1,0.820308244,1.15E-101,0.834563777,4.22E-112
chr4:159191969:159192382:MSTA,2dheH1,LTR,ERVL-MaLR,0.801826279,1.00E-93,0.81606545,3.03E-103
chr4:159194838:159194993:MIRc,2dheH1,SINE,MIR,0.803725648,1.69E-94,0.812072221,1.83E-101
chr4:159166553:159166756:MIR,981yH2,SINE,MIR,0.801352469,1.56E-93,0.865952746,5.73E-130
chr4:159135036:159135176:MIR3,7efkH1,SINE,MIR,0.806194329,1.65E-95,0.819230682,1.09E-104
chr4:159136076:159136252:MIRb,7efkH1,SINE,MIR,0.84861413,1.05E-115,0.872822584,1.73E-134
chr4:159140695:159140811:MIR3,7efkH1,SINE,MIR,0.827324173,6.16E-105,0.854414269,6.49E-123
chr4:159141635:159141869:MIR,7efkH1,SINE,MIR,0.818666711,6.42E-101,0.841539198,9.92E-116
chr4:159143860:159143902:L2a,7efkH1,LINE,L2,0.844930655,1.01E-113,0.880491795,7.45E-140
chr4:159155401:159155713:AluSq,7efkH1,SINE,Alu,0.850262137,1.40E-116,0.861875635,2.11E-127
chr4:159165545:159165837:AluSg7,7efkH1,SINE,Alu,0.874366314,5.70E-131,0.896935162,1.02E-152
chr4:159166443:159166523:AluJo,7efkH1,SINE,Alu,0.829559957,5.32E-106,0.858046599,4.56E-125
chr4:159166553:159166756:MIR,7efkH1,SINE,MIR,0.885659291,7.61E-139,0.910165887,9.16E-165
chr4:159166812:159167111:AluJr,7efkH1,SINE,Alu,0.889460094,1.23E-141,0.909141992,9.10E-164
chr4:159169303:159169579:AluSz6,7efkH1,SINE,Alu,0.818427957,8.15E-101,0.828453062,4.66E-109
chr4:159172428:159172579:MER66-int,7efkH1,LTR,ERV1,0.868521204,2.52E-127,0.891706029,2.10E-148
chr4:159172584:159173056:MER41E,7efkH1,LTR,ERV1,0.87271615,6.57E-130,0.891878616,1.52E-148
chr4:159173089:159173392:L3,7efkH1,LINE,CR1,0.85314958,3.40E-118,0.879786766,2.40E-139
chr4:159173990:159174231:L2b,7efkH1,LINE,L2,0.810100809,3.71E-97,0.829793076,1.03E-109
chr4:159175948:159176178:MIR,7efkH1,SINE,MIR,0.845778208,3.64E-114,0.851120472,5.18E-121
chr4:159178429:159178862:MLT1D,7efkH1,LTR,ERVL-MaLR,0.84639675,1.71E-114,0.869722288,2.04E-132
chr4:159179136:159179269:MIR3,7efkH1,SINE,MIR,0.855310814,2.02E-119,0.876761347,3.37E-137
chr4:159190645:159191277:MER39,7efkH1,LTR,ERV1,0.834525307,2.07E-108,0.862226615,1.28E-127
chr4:159191969:159192382:MSTA,7efkH1,LTR,ERVL-MaLR,0.806622946,1.09E-95,0.834299,5.75E-112
chr4:159193730:159193932:AluJb,7efkH1,SINE,Alu,0.830673979,1.57E-106,0.852680406,6.60E-122
chr4:159194838:159194993:MIRc,7efkH1,SINE,MIR,0.828354658,2.00E-105,0.85660132,3.33E-124
chr4:159195322:159195430:MIRc,7efkH1,SINE,MIR,0.815463185,1.72E-99,0.847640636,4.73E-119
chr4:159195807:159195966:MIRb,7efkH1,SINE,MIR,0.81114305,1.34E-97,0.836843607,2.87E-113
chr4:159198412:159198708:AluSp,7efkH1,SINE,Alu,0.803956418,1.36E-94,0.827926678,8.40E-109
chr4:159165545:159165837:AluSg7,8nwmH4,SINE,Alu,0.807890734,3.22E-96,0.842381939,3.52E-116
chr4:159166553:159166756:MIR,8nwmH4,SINE,MIR,0.873692472,1.53E-130,0.901856419,5.35E-157
chr4:159166812:159167111:AluJr,8nwmH4,SINE,Alu,0.842168101,2.76E-112,0.868776812,8.54E-132
chr4:159172428:159172579:MER66-int,8nwmH4,LTR,ERV1,0.849782788,2.45E-116,0.884975253,3.64E-143
chr4:159172584:159173056:MER41E,8nwmH4,LTR,ERV1,0.847073202,7.47E-115,0.870401254,7.27E-133
chr4:159173089:159173392:L3,8nwmH4,LINE,CR1,0.85666319,3.35E-120,0.885276078,2.16E-143
chr4:159173487:159173714:L2b,8nwmH4,LINE,L2,0.837713819,5.22E-110,0.867413627,6.58E-131
chr4:159175948:159176178:MIR,8nwmH4,SINE,MIR,0.819721023,2.12E-101,0.811845001,2.31E-101
chr4:159178429:159178862:MLT1D,8nwmH4,LTR,ERVL-MaLR,0.849828589,2.37E-116,0.868005147,2.72E-131
chr4:159179136:159179269:MIR3,8nwmH4,SINE,MIR,0.828611736,1.51E-105,0.841056895,1.79E-115
chr4:159190645:159191277:MER39,8nwmH4,LTR,ERV1,0.823064125,6.34E-103,0.849261444,5.86E-120
chr4:159194838:159194993:MIRc,8nwmH4,SINE,MIR,0.807157255,6.57E-96,0.830025996,7.88E-110
chr4:159175948:159176178:MIR,tracer76249,SINE,MIR,0.816508057,5.95E-100,0.823505165,1.11E-106
chr4:159166812:159167111:AluJr,tracer5270,SINE,Alu,0.815064389,2.58E-99,0.829068489,2.33E-109
chr4:159172428:159172579:MER66-int,tracer5270,LTR,ERV1,0.811048776,1.46E-97,0.815614074,4.84E-103
chr4:159172584:159173056:MER41E,tracer5270,LTR,ERV1,0.815005971,2.72E-99,0.823301555,1.38E-106
chr4:159178429:159178862:MLT1D,tracer5270,LTR,ERVL-MaLR,0.802832519,3.91E-94,0.804700966,2.76E-98
chr4:159172584:159173056:MER41E,tracer112653,LTR,ERV1,0.806726833,9.93E-96,0.837960884,7.58E-114
chr4:159173089:159173392:L3,tracer112653,LINE,CR1,0.804266386,1.01E-94,0.835691681,1.12E-112
chr4:159178429:159178862:MLT1D,tracer112653,LTR,ERVL-MaLR,0.815488765,1.68E-99,0.829073166,2.32E-109
chr4:159135036:159135176:MIR3,tracer10022,SINE,MIR,0.816352181,6.90E-100,0.824282883,4.74E-107
chr4:159136076:159136252:MIRb,tracer10022,SINE,MIR,0.805600726,2.86E-95,0.823780001,8.21E-107
chr4:159139997:159140273:AluSx1,tracer10022,SINE,Alu,0.810606399,2.27E-97,0.81258853,1.08E-101
chr4:159140695:159140811:MIR3,tracer10022,SINE,MIR,0.805611854,2.84E-95,0.818335547,2.82E-104
chr4:159155401:159155713:AluSq,tracer10022,SINE,Alu,0.802612673,4.79E-94,0.818464942,2.46E-104
chr4:159165545:159165837:AluSg7,tracer10022,SINE,Alu,0.871364236,4.21E-129,0.886930192,1.18E-144
chr4:159166553:159166756:MIR,tracer10022,SINE,MIR,0.860711072,1.47E-122,0.870463451,6.61E-133
chr4:159166812:159167111:AluJr,tracer10022,SINE,Alu,0.866571884,4.26E-126,0.878089068,3.91E-138
chr4:159168167:159169048:L1MD,tracer10022,LINE,L1,0.820907057,6.13E-102,0.815981123,3.31E-103
chr4:159169303:159169579:AluSz6,tracer10022,SINE,Alu,0.849339641,4.18E-116,0.853506675,2.19E-122
chr4:159172324:159172376:L3,tracer10022,LINE,CR1,0.818612266,6.76E-101,0.822563092,3.08E-106
chr4:159172428:159172579:MER66-int,tracer10022,LTR,ERV1,0.858339998,3.66E-121,0.868980198,6.28E-132
chr4:159172584:159173056:MER41E,tracer10022,LTR,ERV1,0.875251355,1.66E-131,0.88786136,2.27E-145
chr4:159173089:159173392:L3,tracer10022,LINE,CR1,0.866195384,6.90E-126,0.876399768,6.03E-137
chr4:159173990:159174231:L2b,tracer10022,LINE,L2,0.842191011,2.75E-112,0.847364195,6.74E-119
chr4:159175629:159175756:FLAM_A,tracer10022,SINE,Alu,0.8218798,2.22E-102,0.810154489,1.27E-100
chr4:159175948:159176178:MIR,tracer10022,SINE,MIR,0.872640007,6.94E-130,0.876200564,8.30E-137
chr4:159178429:159178862:MLT1D,tracer10022,LTR,ERVL-MaLR,0.849450002,3.69E-116,0.86030789,1.94E-126
chr4:159179136:159179269:MIR3,tracer10022,SINE,MIR,0.844709594,1.30E-113,0.857526288,9.36E-125
chr4:159190434:159190644:MLT1I,tracer10022,LTR,ERVL-MaLR,0.802611101,4.79E-94,0.814819289,1.10E-102
chr4:159190645:159191277:MER39,tracer10022,LTR,ERV1,0.840572622,1.88E-111,0.852926077,4.76E-122
chr4:159191969:159192382:MSTA,tracer10022,LTR,ERVL-MaLR,0.822247103,1.50E-102,0.838551956,3.73E-114
chr4:159193730:159193932:AluJb,tracer10022,SINE,Alu,0.809414431,7.24E-97,0.819065982,1.30E-104
chr4:159194838:159194993:MIRc,tracer10022,SINE,MIR,0.836644016,1.79E-109,0.840720814,2.70E-115
chr4:159195322:159195430:MIRc,tracer10022,SINE,MIR,0.806090799,1.81E-95,0.817009745,1.13E-103
chr4:159195807:159195966:MIRb,tracer10022,SINE,MIR,0.814376253,5.14E-99,0.814917147,9.96E-103
chr4:159198412:159198708:AluSp,tracer10022,SINE,Alu,0.80944592,7.08E-97,0.825726627,9.70E-108
chr4:159136076:159136252:MIRb,tracer11791,SINE,MIR,0.811250219,1.21E-97,0.824024819,6.29E-107
chr4:159155401:159155713:AluSq,tracer11791,SINE,Alu,0.801868049,9.67E-94,0.813751413,3.30E-102
chr4:159165545:159165837:AluSg7,tracer11791,SINE,Alu,0.864961641,3.94E-125,0.874859471,7.05E-136
chr4:159166553:159166756:MIR,tracer11791,SINE,MIR,0.805730661,2.54E-95,0.820488459,2.87E-105
chr4:159166812:159167111:AluJr,tracer11791,SINE,Alu,0.804401867,8.99E-95,0.82270487,2.64E-106
chr4:159169303:159169579:AluSz6,tracer11791,SINE,Alu,0.810568174,2.34E-97,0.817123108,1.01E-103
chr4:159172584:159173056:MER41E,tracer11791,LTR,ERV1,0.803862858,1.48E-94,0.82067118,2.36E-105
chr4:159173990:159174231:L2b,tracer11791,LINE,L2,0.803124832,2.97E-94,0.815058637,8.61E-103
chr4:159175629:159175756:FLAM_A,tracer11791,SINE,Alu,0.854684411,4.62E-119,0.847257921,7.72E-119
chr4:159175948:159176178:MIR,tracer11791,SINE,MIR,0.898670559,5.36E-149,0.897374883,4.30E-153
chr4:159194838:159194993:MIRc,tracer11791,SINE,MIR,0.808876672,1.23E-96,0.812749992,9.19E-102
chr4:159175948:159176178:MIR,tracer93780,SINE,MIR,0.869902732,3.56E-128,0.870723788,4.44E-133
chr4:159141635:159141869:MIR,bknvH1,SINE,MIR,0.78731558,4.76E-88,0.806194907,6.43E-99
chr4:159155401:159155713:AluSq,bknvH1,SINE,Alu,0.789159801,9.57E-89,0.812264644,1.51E-101
chr4:159173990:159174231:L2b,bknvH1,LINE,L2,0.785346476,2.65E-87,0.802825468,1.69E-97
chr4:159190434:159190644:MLT1I,bknvH1,LTR,ERVL-MaLR,0.788337922,1.96E-88,0.80381537,6.51E-98
chr4:159190645:159191277:MER39,bknvH1,LTR,ERV1,0.793142641,2.86E-90,0.802526961,2.25E-97
chr4:159136076:159136252:MIRb,3wobH2,SINE,MIR,0.779159252,4.96E-85,0.811057891,5.11E-101
chr4:159143860:159143902:L2a,3wobH2,LINE,L2,0.77580909,7.86E-84,0.833237649,1.98E-111
chr4:159166443:159166523:AluJo,3wobH2,SINE,Alu,0.789527274,6.95E-89,0.836296778,5.49E-113
chr4:159172584:159173056:MER41E,3wobH2,LTR,ERV1,0.794500109,8.45E-91,0.821744566,7.45E-106
chr4:159173089:159173392:L3,3wobH2,LINE,CR1,0.772858673,8.43E-83,0.807693986,1.47E-99
chr4:159143860:159143902:L2a,ahqxH1,LINE,L2,0.734141895,1.69E-70,0.811877299,2.23E-101
chr4:159165545:159165837:AluSg7,ahqxH1,SINE,Alu,0.76524645,3.40E-80,0.805149357,1.79E-98
chr4:159166812:159167111:AluJr,ahqxH1,SINE,Alu,0.792728178,4.12E-90,0.822049405,5.37E-106
chr4:159172584:159173056:MER41E,ahqxH1,LTR,ERV1,0.774456915,2.38E-83,0.805020477,2.02E-98
chr4:159173089:159173392:L3,ahqxH1,LINE,CR1,0.76556764,2.67E-80,0.80486254,2.36E-98
chr4:159178429:159178862:MLT1D,ahqxH1,LTR,ERVL-MaLR,0.779075556,5.29E-85,0.801921355,4.02E-97
chr4:159166553:159166756:MIR,cwydH1,SINE,MIR,0.79488637,5.98E-91,0.832807466,3.25E-111
chr4:159166812:159167111:AluJr,cwydH1,SINE,Alu,0.796266337,1.74E-91,0.844672938,2.03E-117
chr4:159167151:159167251:FLAM_A,cwydH1,SINE,Alu,0.760849997,9.92E-79,0.801376777,6.77E-97
chr4:159172324:159172376:L3,cwydH1,LINE,CR1,0.77726225,2.38E-84,0.821322394,1.17E-105
chr4:159172428:159172579:MER66-int,cwydH1,LTR,ERV1,0.796292817,1.71E-91,0.815209103,7.37E-103
chr4:159192379:159192454:MSTA,cwydH1,LTR,ERVL-MaLR,0.750659018,1.83E-75,0.813098684,6.44E-102
chr4:159166553:159166756:MIR,dahrH1,SINE,MIR,0.773288766,5.99E-83,0.825413688,1.37E-107
chr4:159175948:159176178:MIR,0z1rH3,SINE,MIR,0.796013556,2.18E-91,0.803306107,1.07E-97
chr4:159190645:159191277:MER39,0z1rH3,LTR,ERV1,0.794989795,5.46E-91,0.829138951,2.15E-109
chr4:159191969:159192382:MSTA,0z1rH3,LTR,ERVL-MaLR,0.779084034,5.27E-85,0.804181817,4.57E-98
chr4:159195322:159195430:MIRc,0z1rH3,SINE,MIR,0.79837297,2.52E-92,0.822166491,4.73E-106
chr4:159172324:159172376:L3,0wq0H6,LINE,CR1,0.787439896,4.29E-88,0.811766388,2.50E-101
chr4:159173089:159173392:L3,0wq0H6,LINE,CR1,0.775805882,7.86E-84,0.807838064,1.27E-99
chr4:159190434:159190644:MLT1I,0wq0H6,LTR,ERVL-MaLR,0.798438833,2.38E-92,0.832471496,4.80E-111
chr4:159191278:159191405:MLT1I,0wq0H6,LTR,ERVL-MaLR,0.765420113,2.99E-80,0.805602295,1.15E-98
chr4:159195322:159195430:MIRc,0wq0H6,SINE,MIR,0.763104197,1.77E-79,0.811119643,4.80E-101
chr4:159194838:159194993:MIRc,fib2H7,SINE,MIR,0.79671758,1.16E-91,0.804070309,5.09E-98
chr4:159195322:159195430:MIRc,fib2H7,SINE,MIR,0.79537425,3.88E-91,0.802756733,1.81E-97
chr4:159166443:159166523:AluJo,2dheH1,SINE,Alu,0.789347861,8.12E-89,0.815085961,8.37E-103
chr4:159190434:159190644:MLT1I,2dheH1,LTR,ERVL-MaLR,0.789695703,6.00E-89,0.804427582,3.60E-98
chr4:159195322:159195430:MIRc,2dheH1,SINE,MIR,0.795220224,4.45E-91,0.805967433,8.03E-99
chr4:159166553:159166756:MIR,gwiwH1,SINE,MIR,0.773888158,3.72E-83,0.821500635,9.69E-106
chr4:159166812:159167111:AluJr,gwiwH1,SINE,Alu,0.753113595,3.11E-76,0.803318761,1.05E-97
chr4:159172428:159172579:MER66-int,gwiwH1,LTR,ERV1,0.734327481,1.49E-70,0.801142816,8.46E-97
chr4:159165545:159165837:AluSg7,9gumH7,SINE,Alu,0.759944068,1.96E-78,0.800206946,2.06E-96
chr4:159166553:159166756:MIR,9gumH7,SINE,MIR,0.764863888,4.55E-80,0.807590477,1.63E-99
chr4:159166812:159167111:AluJr,9gumH7,SINE,Alu,0.7738487,3.83E-83,0.813799502,3.14E-102
chr4:159172428:159172579:MER66-int,9gumH7,LTR,ERV1,0.779345412,4.26E-85,0.803650432,7.64E-98
chr4:159172584:159173056:MER41E,9gumH7,LTR,ERV1,0.782586896,2.83E-86,0.818480658,2.42E-104
chr4:159173089:159173392:L3,9gumH7,LINE,CR1,0.787862604,2.97E-88,0.816235679,2.54E-103
chr4:159178429:159178862:MLT1D,9gumH7,LTR,ERVL-MaLR,0.791894002,8.66E-90,0.821200483,1.34E-105
chr4:159179136:159179269:MIR3,9gumH7,SINE,MIR,0.776034482,6.55E-84,0.812451775,1.25E-101
chr4:159190434:159190644:MLT1I,9gumH7,LTR,ERVL-MaLR,0.753967308,1.67E-76,0.807289442,2.19E-99
chr4:159190645:159191277:MER39,9gumH7,LTR,ERV1,0.78732345,4.74E-88,0.817417284,7.39E-104
chr4:159191969:159192382:MSTA,9gumH7,LTR,ERVL-MaLR,0.778897993,6.13E-85,0.81136603,3.74E-101
chr4:159193730:159193932:AluJb,9gumH7,SINE,Alu,0.743058579,3.98E-73,0.80021961,2.03E-96
chr4:159194838:159194993:MIRc,9gumH7,SINE,MIR,0.755209479,6.72E-77,0.802397987,2.55E-97
chr4:159195322:159195430:MIRc,9gumH7,SINE,MIR,0.741837705,9.24E-73,0.80246057,2.40E-97
chr4:159143860:159143902:L2a,981yH2,LINE,L2,0.760696659,1.11E-78,0.842698156,2.38E-116
chr4:159166443:159166523:AluJo,981yH2,SINE,Alu,0.724789082,7.69E-68,0.809867571,1.69E-100
chr4:159166812:159167111:AluJr,981yH2,SINE,Alu,0.746265243,4.17E-74,0.804778995,2.56E-98
chr4:159172428:159172579:MER66-int,981yH2,LTR,ERV1,0.764147435,7.90E-80,0.829699445,1.14E-109
